INDEX,YEAR,MN,DT,MAX,MIN,RF
42933,2015,5,7,42.8,25.5,0.0
42933,2015,5,8,43.5,26.1,0.0
42933,2015,5,9,44.8,26.5,0.0
42933,2015,5,10,44.1,30.8,0.0
42933,2015,5,11,42.1,27.1,0.0
42933,2015,5,12,43.5,27.5,0.6
42933,2015,5,13,42.1,27.0,1.6
42933,2015,5,14,41.6,24.3,0.0
42933,2015,5,15,38.1,28.9,0.0
42933,2015,5,16,35.6,26.7,0.0
42933,2015,5,17,42.2,28.4,0.0
42933,2015,5,18,44.6,30.2,0.0
42933,2015,5,19,45.7,30.5,0.0
42933,2015,5,20,46.4,30.9,0.0
42933,2015,5,21,46.2,30.1,0.0
42933,2015,5,22,44.9,30.1,0.0
42933,2015,5,23,44.7,30.0,0.0
42933,2015,5,24,42.5,29.5,0.0
42933,2015,5,25,42.6,29.3,0.0
42933,2015,5,26,42.6,29.2,0.0
42933,2015,5,27,43.6,29.6,0.0
42933,2015,5,28,45.1,29.6,0.0
42933,2015,5,29,45.1,29.9,0.0
42933,2015,5,30,45.1,31.9,0.0
42933,2015,5,31,44.6,32.0,0.0
42933,2015,6,1,44.9,30.9,0.0
42933,2015,6,2,41.7,29.1,0.0
42933,2015,6,3,42.1,28.2,0.0
42933,2015,6,4,42.2,30.0,0.0
42933,2015,6,5,43.1,30.7,0.0
42933,2015,6,6,42.5,31.9,0.0
42933,2015,6,7,41.1,31.4,0.0
42933,2015,6,8,42.7,27.1,1.0
42933,2015,6,9,40.1,26.5,0.3
42933,2015,6,10,39.9,28.3,0.0
42933,2015,6,11,40.8,24.9,1.8
42933,2015,6,12,37.7,23.4,54.4
42933,2015,6,13,35.9,24.8,5.4
42933,2015,6,14,33.8,24.2,16.4
42933,2015,6,15,35.2,25.4,0.0
42933,2015,6,16,35.8,24.8,0.0
42933,2015,6,17,35.6,23.4,15.6
42933,2015,6,18,33.8,23.0,21.9
42933,2015,6,19,33.8,24.9,14.5
42933,2015,6,20,34.2,24.1,7.4
